Scenario,Device,TX_Packets,RX_Packets,Lost_Packets,TX_Bytes,RX_Bytes,Delay,Jitter,TRR,PLR,NDI,JVI,ASI,Source_File
mitm,WIP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,100.0,60.0,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed4.xml
mitm,WIP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,100.0,60.0,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed4.xml
mitm,WIP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,100.0,60.0,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed4.xml
mitm,WIP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,100.0,60.0,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed4.xml
mitm,WIP,294,294,0,22932,22932,0.0,0.0,100.0,0.0,100.0,100.0,100.0,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed5.xml
mitm,WIP,1,1,0,36,36,7894130.0,0.0,100.0,0.0,100.0,100.0,85.00000190014582,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed5.xml
mitm,WIP,7080,7079,0,3823200,3822660,2371577.906483967,1290395.5360926685,99.98587570621469,0.0,99.98587570621469,7.749561830111832e-08,69.99436823171986,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed5.xml
mitm,WIP,7080,7073,6,2010720,2008732,2873632.1221546726,1174563.8342994486,99.90112994350282,0.0847457627118644,99.90112994350282,8.513798653991891e-08,69.93504623914771,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed5.xml
mitm,WIP,7080,7072,6,2010720,2008448,2994499.4343891405,1261156.674208145,99.88700564971752,0.0847457627118644,99.88700564971752,7.929228934501395e-08,69.92939543409021,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed5.xml
mitm,WIP,7080,7077,2,2010720,2009868,3120022.608449908,1515458.5276246998,99.95762711864407,0.02824858757062147,99.95762711864407,6.598662920241798e-08,69.97459097683023,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed5.xml
mitm,WIP,7080,7079,0,2010720,2010436,3220808.0237321653,1487554.7393699675,99.98587570621469,0.0,99.98587570621469,6.722441688104141e-08,69.99436502335661,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed5.xml
mitm,WIP,7080,7079,0,2010720,2010436,3214281.678203136,1491354.7111173894,99.98587570621469,0.0,99.98587570621469,6.705312906949039e-08,69.99436500711957,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed5.xml
mitm,WIP,6591,6591,0,1871844,1871844,2106129.570626612,1010846.6090122894,100.0,0.0,100.0,9.89269776536959e-08,70.00002196109753,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed5.xml
mitm,WIP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,100.0,60.0,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed5.xml
mitm,WIP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,100.0,60.0,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed5.xml
mitm,WIP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,100.0,60.0,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed5.xml
mitm,WIP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,100.0,60.0,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed5.xml
mitm,WIP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,100.0,60.0,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed5.xml
mitm,WIP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,100.0,60.0,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed5.xml
mitm,WIP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,100.0,60.0,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed5.xml
mitm,WIP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,100.0,60.0,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed5.xml
mitm,WIP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,100.0,60.0,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed5.xml
mitm,WIP,294,294,0,22932,22932,0.0,0.0,100.0,0.0,100.0,100.0,100.0,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed1.xml
mitm,WIP,1,1,0,36,36,4632270.0,0.0,100.0,0.0,100.0,100.0,85.00000323815252,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed1.xml
mitm,WIP,7080,7079,0,3823200,3822660,2408489.899703348,1309834.7224184207,99.98587570621469,0.0,99.98587570621469,7.634551001901898e-08,69.99436796226988,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed1.xml
mitm,WIP,7080,7079,0,2010720,2010436,2922460.7995479587,1158958.8924989405,99.98587570621469,0.0,99.98587570621469,8.628433722795486e-08,69.99436835778435,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed1.xml
mitm,WIP,7080,7068,11,2010720,2007312,2975183.9275608375,1281185.6253537068,99.83050847457628,0.1553672316384181,99.83050847457628,7.805270207768646e-08,69.88560996993859,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed1.xml
mitm,WIP,7080,7078,1,2010720,2010152,3205608.9290760104,1491226.3351229161,99.97175141242937,0.014124293785310734,99.97175141242937,6.705890150786431e-08,69.98447801496135,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed1.xml
mitm,WIP,7080,7079,0,2010720,2010436,3249498.5167396525,1502076.5644865094,99.98587570621469,0.0,99.98587570621469,6.657450245727712e-08,69.99436488475006,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed1.xml
mitm,WIP,7080,7070,9,2010720,2007880,3323946.251768034,1532206.5063649223,99.85875706214689,0.1271186440677966,99.85875706214689,6.526535393194438e-08,69.90538153414212,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed1.xml
mitm,WIP,6591,6591,0,1871844,1871844,2101153.0875436203,1044604.7640722197,100.0,0.0,100.0,9.572998644428585e-08,70.00002149841806,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed1.xml
mitm,WIP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,100.0,60.0,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed1.xml
mitm,WIP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,100.0,60.0,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed1.xml
mitm,WIP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,100.0,60.0,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed1.xml
mitm,WIP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,100.0,60.0,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed1.xml
mitm,WIP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,100.0,60.0,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed1.xml
mitm,WIP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,100.0,60.0,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed1.xml
mitm,WIP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,100.0,60.0,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed1.xml
mitm,WIP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,100.0,60.0,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed1.xml
mitm,WIP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,100.0,60.0,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed1.xml
mitm,WIP,294,294,0,22932,22932,0.0,0.0,100.0,0.0,100.0,100.0,100.0,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed10.xml
mitm,WIP,1,1,0,36,36,4593130.0,0.0,100.0,0.0,100.0,100.0,85.00000326574617,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed10.xml
mitm,WIP,7080,7079,0,3823200,3822660,2353354.9936431698,1275998.0223195367,99.98587570621469,0.0,99.98587570621469,7.837002736089498e-08,69.99436841185707,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed10.xml
mitm,WIP,7080,7074,4,2010720,2009016,2882032.7961549335,1185691.2637828668,99.91525423728814,0.05649717514124294,99.91525423728814,8.433898685954544e-08,69.94917039786817,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed10.xml
mitm,WIP,7080,7075,4,2010720,2009300,2991349.823321555,1287708.8339222614,99.92937853107344,0.05649717514124294,99.92937853107344,7.765730675136431e-08,69.95481892293095,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed10.xml
mitm,WIP,7080,7079,0,2010720,2010436,3051377.3131798278,1483980.7882469276,99.98587570621469,0.0,99.98587570621469,6.738631707675056e-08,69.99436530623792,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed10.xml
mitm,WIP,7080,7079,0,2010720,2010436,3177948.8628337337,1469190.563638932,99.98587570621469,0.0,99.98587570621469,6.80646897732943e-08,69.99436521220652,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed10.xml
mitm,WIP,7080,7072,7,2010720,2008448,3196167.9864253392,1475480.7692307692,99.88700564971752,0.09887005649717513,99.88700564971752,6.777451934148876e-08,69.92515610222745,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed10.xml
mitm,WIP,6591,6591,0,1871844,1871844,2113730.845091792,1047901.6841147018,100.0,0.0,100.0,9.542879968654134e-08,70.00002141075993,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed10.xml
mitm,WIP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,100.0,60.0,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed10.xml
mitm,WIP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,100.0,60.0,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed10.xml
mitm,WIP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,100.0,60.0,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed10.xml
mitm,WIP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,100.0,60.0,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed10.xml
mitm,WIP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,100.0,60.0,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed10.xml
mitm,WIP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,100.0,60.0,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed10.xml
mitm,WIP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,100.0,60.0,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed10.xml
mitm,WIP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,100.0,60.0,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed10.xml
mitm,WIP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,100.0,60.0,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed10.xml
mitm,WIP,294,294,0,22932,22932,0.0,0.0,100.0,0.0,100.0,100.0,100.0,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed8.xml
mitm,WIP,1,1,0,36,36,7928130.0,0.0,100.0,0.0,100.0,100.0,85.00000189199699,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed8.xml
mitm,WIP,7080,7079,0,3823200,3822660,2272580.873004662,1284804.3508970193,99.98587570621469,0.0,99.98587570621469,7.783286214150004e-08,69.99436855782838,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed8.xml
mitm,WIP,7080,7075,4,2010720,2009300,2891279.151943463,1150343.4628975266,99.92937853107344,0.05649717514124294,99.92937853107344,8.693055868825981e-08,69.95482048747283,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed8.xml
mitm,WIP,7080,7076,3,2010720,2009584,2933776.1447145278,1301803.2786885246,99.94350282485875,0.0423728813559322,99.94350282485875,7.681652178962589e-08,69.96470590086894,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed8.xml
